消费金额,支付方式
28.58,支票
52.04,支票
7.41,现金
11.17,现金
43.79,信用卡
48.95,支票
57.59,支票
27.6,支票
26.91,信用卡
9,现金
12.07,现金
54.19,信用卡
58.11,支票
58.64,支票
7.22,现金
16.69,现金
48.11,信用卡
58.75,支票
25.57,信用卡
42.69,支票
14.28,现金
16.28,现金
11.77,现金
15.07,现金
36.48,支票
31.07,支票
18.77,支票
57.55,信用卡
4.34,现金
30.6,支票
55.4,支票
35.38,支票
7.02,现金
27.66,信用卡
44.53,信用卡
40.51,支票
1.09,现金
59.78,支票
21.11,支票
2.87,现金
52.87,支票
55.21,信用卡
20.48,现金
19.78,信用卡
8.81,现金
2.67,支票
16.38,现金
46.24,信用卡
72.46,支票
31.74,支票
33.76,信用卡
14.44,信用卡
4.75,现金
22.59,信用卡
11.54,现金
2.44,现金
52.35,信用卡
26.57,信用卡
15.1,现金
7.4,现金
13.09,现金
35.89,支票
15.57,现金
1.27,现金
52.63,信用卡
41.58,支票
5.98,现金
46.13,信用卡
2.96,现金
5.91,现金
17.87,支票
1.85,现金
49.21,支票
69.22,支票
34.67,支票
5.15,现金
51.66,支票
36.09,支票
53.32,信用卡
8.85,现金
7.17,现金
39.55,支票
42.83,支票
3.65,现金
50.58,支票
25.96,支票
5.08,现金
50.3,信用卡
78.16,支票
37.94,支票
27.89,信用卡
37.2,支票
7.88,现金
6.93,现金
18.09,现金
54.84,支票
41.1,支票
43.14,支票
3.31,现金
69.77,信用卡
