党派,缩减经费,对党客的限制,服务年数的限制
民主党,赞成,反对,反对
民主党,赞成,赞成,反对
民主党,反对,赞成,反对
民主党,赞成,反对,赞成
民主党,反对,反对,反对
民主党,反对,赞成,赞成
民主党,赞成,反对,反对
民主党,反对,赞成,反对
民主党,赞成,赞成,反对
民主党,赞成,反对,赞成
民主党,赞成,反对,赞成
民主党,赞成,反对,赞成
民主党,反对,反对,赞成
民主党,赞成,反对,赞成
民主党,赞成,赞成,赞成
民主党,赞成,反对,反对
民主党,赞成,赞成,反对
民主党,赞成,反对,赞成
民主党,赞成,赞成,反对
民主党,赞成,赞成,赞成
民主党,反对,反对,赞成
民主党,赞成,反对,反对
民主党,反对,赞成,反对
民主党,反对,赞成,赞成
民主党,反对,赞成,赞成
民主党,赞成,赞成,赞成
民主党,赞成,赞成,反对
民主党,反对,赞成,赞成
民主党,反对,反对,反对
民主党,赞成,赞成,反对
民主党,赞成,反对,反对
民主党,反对,赞成,赞成
民主党,赞成,赞成,反对
民主党,反对,赞成,赞成
民主党,反对,赞成,反对
民主党,赞成,赞成,反对
独立党,反对,反对,赞成
独立党,反对,反对,赞成
独立党,赞成,赞成,赞成
独立党,赞成,赞成,反对
独立党,反对,赞成,反对
独立党,反对,反对,赞成
独立党,赞成,赞成,反对
独立党,反对,赞成,赞成
独立党,赞成,赞成,赞成
独立党,反对,赞成,反对
独立党,赞成,赞成,赞成
独立党,赞成,赞成,赞成
独立党,反对,赞成,反对
独立党,反对,反对,赞成
独立党,赞成,赞成,反对
独立党,赞成,赞成,赞成
独立党,赞成,赞成,反对
独立党,赞成,赞成,反对
独立党,反对,赞成,反对
共和党,赞成,赞成,赞成
共和党,赞成,反对,赞成
共和党,赞成,赞成,反对
共和党,赞成,赞成,赞成
共和党,反对,赞成,反对
共和党,赞成,赞成,反对
共和党,赞成,赞成,反对
共和党,赞成,赞成,赞成
共和党,赞成,赞成,赞成
共和党,赞成,赞成,赞成
共和党,赞成,赞成,反对
共和党,赞成,赞成,反对
共和党,赞成,反对,赞成
共和党,赞成,反对,赞成
共和党,赞成,赞成,赞成
共和党,反对,反对,赞成
共和党,反对,赞成,赞成
共和党,赞成,赞成,赞成
共和党,反对,反对,赞成
共和党,反对,赞成,赞成
共和党,赞成,反对,赞成
共和党,赞成,反对,赞成
共和党,赞成,赞成,反对
共和党,赞成,赞成,赞成
共和党,赞成,赞成,赞成
共和党,赞成,反对,赞成
共和党,赞成,反对,反对
共和党,反对,赞成,反对
共和党,赞成,赞成,赞成
共和党,赞成,赞成,反对
共和党,赞成,赞成,赞成
共和党,赞成,赞成,反对
共和党,赞成,赞成,反对
共和党,赞成,赞成,赞成
共和党,赞成,赞成,赞成
共和党,赞成,赞成,赞成
共和党,赞成,赞成,赞成
共和党,赞成,赞成,赞成
共和党,赞成,赞成,赞成
共和党,赞成,赞成,赞成
共和党,赞成,反对,赞成
共和党,赞成,赞成,赞成
共和党,赞成,赞成,赞成
共和党,赞成,反对,反对
共和党,赞成,赞成,赞成
